title;link;date;author_link;author
Информация по искусственному осеменению коров в 2024 году;https://www.chainsk.tom.ru/news/admrna/informacija_po_iskusstvennomu_osemeneniju_korov_v_2024_godu;29 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
ОМВД России по Чаинскому району   приглашает жителей района и области на службу в органы внутренних дел;https://www.chainsk.tom.ru/news/admrna/omvd_rossii_po_chainskomu_rajonu_priglashaetzhitelejrajonaioblasti_na_sluzhbu_v_organy_vnutrennikh_del;29 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
С Наступающим Новым годом!;https://www.chainsk.tom.ru/news/admrna/s_nastupajushhim_novym_godom;29 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
ВСЕЙ СЕМЬЕЙ — ВСЕГДА ДРУЖНО И ВЕСЕЛО!;https://www.chainsk.tom.ru/news/admrna/vsej_semej_vsegda_druzhno_i_veselo;18 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
Открыта переправа через речку Чая в селе Гришкино;https://www.chainsk.tom.ru/news/admrna/otkryta_pereprava_cherez_rechku_chaja_v_sele_grishkino;18 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
Будьте осторожны с огнём!;https://www.chainsk.tom.ru/news/admrna/budte_ostorozhny_s_ognjom;13 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
С Днём Конституции РФ!;https://www.chainsk.tom.ru/news/admrna/s_dnem_konstitucii_rf;12 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
Открыта ледовая переправа Подгорное- Черёмушки;https://www.chainsk.tom.ru/news/admrna/otkryta_ledovaja_pereprava_podgornoe_cherjomushki;12 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
Военная служба по контракту – работа настоящих мужчин;https://www.chainsk.tom.ru/news/admrna/voennajasluzhbapokontrakturabotanastojashhikhmuzhchin;11 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
С Днём Героев Отечества;https://www.chainsk.tom.ru/news/admrna/s_dnjom_geroev_otechestva;09 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
В Томской области завершилась профилактическая операция «Прицеп»;https://www.chainsk.tom.ru/news/admrna/v_tomskoj_oblasti_zavershilas_profilakticheskaja_operacija_pricep;07 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
Важная информация;https://www.chainsk.tom.ru/news/admrna/vazhnaja_informacija;07 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
С завтрашнего дня в Томской области ожидаются морозы;https://www.chainsk.tom.ru/news/admrna/s_zavtrashnego_dnja_v_tomskoj_oblasti_ozhidajutsja_morozy;07 декабря 2023;https://www.chainsk.tom.ru/news/admrna;Администрация Чаинского района
